cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,34.291634,53.808872,0.26594174,0.0762678,Negative
1,60.985485,51.103992,0.2824442,0.058050003,Negative
2,166.98297,48.57412,0.3377581,0.049556747,Negative
3,76.78896,62.712242,0.20715094,0.039701685,Negative
4,194.02936,56.42709,0.33894512,0.05060534,Negative
5,238.97351,60.318672,0.30919766,0.04901815,Negative
6,177.88425,68.87992,0.29291862,0.05334644,Negative
7,149.21901,76.721275,0.2955724,0.043365035,Negative
8,261.42493,72.847336,0.30571616,0.047799066,Negative
9,437.92627,74.355965,0.29669166,0.13853027,Negative
10,111.07404,81.48308,0.2802214,0.13111326,Negative
11,212.63156,83.91305,0.26756933,0.04564815,Negative
12,262.6901,95.44108,0.3204284,0.50641984,Positive
13,221.82635,100.31934,0.38471383,0.09711832,Negative
14,293.08475,97.19856,0.33369508,0.057825726,Negative
15,346.87286,99.18945,0.31716022,0.04277179,Negative
16,366.244,101.887024,0.34742594,0.03903286,Negative
17,246.71536,104.784676,0.26063025,0.08141039,Negative
18,265.32803,107.1552,0.28543523,0.479182,Negative
19,475.25314,136.99403,0.23455663,0.07649926,Negative
20,307.34756,149.60602,0.32446182,0.15032065,Negative
21,425.50198,145.38663,0.31176195,0.0518742,Negative
22,289.5455,165.98204,0.3380335,0.105044,Negative
23,32.523396,184.3501,0.30545995,0.04195228,Negative
24,61.952835,188.71432,0.26300278,0.041992582,Negative
25,405.55334,191.54517,0.29254,0.057433378,Negative
26,387.84363,205.71611,0.33104643,0.031149983,Negative
27,257.3406,218.1537,0.2743323,0.061918475,Negative
28,318.1518,220.44786,0.3271714,0.031503096,Negative
29,330.6017,222.41794,0.38409245,0.031514823,Negative
30,421.05362,220.95326,0.23887067,0.070842505,Negative
31,447.08923,229.93575,0.22558703,0.042986017,Negative
32,229.98822,234.28783,0.25714567,0.06913499,Negative
33,353.88834,233.82785,0.28809467,0.03873688,Negative
34,113.75226,243.67554,0.2889177,0.027348524,Negative
35,165.29633,247.09825,0.2670566,0.09448564,Negative
36,201.45569,241.16107,0.33716106,0.032249484,Negative
37,43.733074,252.2606,0.20457172,0.05007484,Negative
38,444.26233,251.21263,0.31034428,0.026514417,Negative
39,475.48972,253.60788,0.24197273,0.024240054,Negative
40,251.2689,257.13095,0.24131589,0.043944735,Negative
41,220.78934,269.79272,0.32779372,0.046569955,Negative
42,452.77567,268.9174,0.27077302,0.015531481,Negative
43,467.90414,268.5047,0.32681867,0.016656384,Negative
44,250.10114,282.5813,0.2981415,0.16321765,Negative
45,60.144306,300.52994,0.2252044,0.08065188,Negative
46,107.21689,297.37772,0.31813946,0.046571694,Negative
47,123.58686,296.5351,0.32669872,0.13070363,Negative
48,246.62097,300.27374,0.2988004,0.103611454,Negative
49,379.3035,302.1984,0.2504432,0.023521041,Negative
50,396.12607,297.6173,0.32798493,0.02979953,Negative
51,454.6232,301.19595,0.37114614,0.033780657,Negative
52,192.91226,306.85718,0.28246695,0.050792437,Negative
53,324.15344,308.56543,0.3441753,0.033421118,Negative
54,210.58076,313.65005,0.31232506,0.084698774,Negative
55,227.59132,318.0125,0.31599438,0.091009006,Negative
56,259.466,316.46097,0.31172633,0.073051386,Negative
57,355.9887,316.94754,0.25203037,0.024329487,Negative
58,473.98175,317.30972,0.3173055,0.016135067,Negative
59,61.31649,324.0493,0.3349587,0.03965536,Negative
60,123.235176,326.39673,0.32517883,0.044292904,Negative
61,142.85655,323.7354,0.33117336,0.22034733,Negative
62,162.68898,322.8008,0.27352694,0.11589401,Negative
63,397.3404,323.57404,0.315714,0.031330954,Negative
64,37.25808,333.3571,0.23589997,0.07212093,Negative
65,426.2642,331.2772,0.35117,0.03431642,Negative
66,170.28448,337.7132,0.36185038,0.057360187,Negative
67,203.36739,336.3971,0.27788213,0.03505166,Negative
68,281.03278,342.85263,0.35439456,0.03959866,Negative
69,366.8668,339.7366,0.32738563,0.020138886,Negative
70,305.12054,349.83487,0.29870057,0.038215913,Negative
71,396.6378,347.0007,0.28041983,0.033721745,Negative
72,443.4273,347.12994,0.32188094,0.027268596,Negative
73,479.01,345.77527,0.22729713,0.021681063,Negative
74,36.871033,358.48846,0.24642906,0.0634701,Negative
75,116.50267,366.40515,0.34410277,0.06966914,Negative
76,273.6504,362.53802,0.32517925,0.08918335,Negative
77,319.9249,362.62366,0.34782693,0.078362755,Negative
78,40.965675,374.1101,0.30486485,0.055562973,Negative
79,74.1374,373.84528,0.3426855,0.047582805,Negative
80,193.80421,378.93027,0.34348774,0.054512028,Negative
81,261.13092,378.00662,0.37504196,0.097444795,Negative
82,298.68774,379.12524,0.28587595,0.04510038,Negative
83,348.00873,382.0223,0.29549998,0.042290866,Negative
84,197.4378,397.88266,0.28111175,0.06309555,Negative
85,287.68088,396.97418,0.38053036,0.061464313,Negative
86,381.59833,398.75656,0.25339845,0.064701416,Negative
87,157.62814,400.75464,0.4264123,0.08736674,Negative
88,330.85736,404.04312,0.36337087,0.10671257,Negative
89,221.04605,412.20508,0.3200428,0.053766217,Negative
90,261.24808,410.8646,0.31360087,0.05165557,Negative
91,245.6688,417.3636,0.29874516,0.038763665,Negative
92,385.93402,418.67667,0.3359498,0.03455204,Negative
93,68.28944,424.28467,0.3751701,0.022296127,Negative
94,413.1942,436.8426,0.19858381,0.051780213,Negative
95,306.51517,440.5507,0.39325765,0.06427679,Negative
96,398.25378,451.12,0.2561182,0.04649018,Negative
97,426.80322,449.42072,0.2877792,0.06837304,Negative
98,465.74942,456.92807,0.2883511,0.04983762,Negative
99,257.787,467.21243,0.34380722,0.046939183,Negative
