patch_id,image_file,patch_json,cells_csv,num_cells,patch_pred_bucket,patch_pred_tps,source_distill_npz_path
DI2025-030614_2025-04-21_14_59_40_x28160_y31232,patches/DI2025-030614_2025-04-21_14_59_40_x28160_y31232/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x28160_y31232/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x28160_y31232/cells.csv,106,TPS_50,0.8387073278427124,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x28160_y31232.npz
DI2025-030614_2025-04-21_14_59_40_x28672_y31232,patches/DI2025-030614_2025-04-21_14_59_40_x28672_y31232/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x28672_y31232/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x28672_y31232/cells.csv,109,TPS_50,0.7518556118011475,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x28672_y31232.npz
DI2025-030614_2025-04-21_14_59_40_x17408_y33792,patches/DI2025-030614_2025-04-21_14_59_40_x17408_y33792/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x17408_y33792/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x17408_y33792/cells.csv,87,TPS_50,0.6469267010688782,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x17408_y33792.npz
DI2025-030614_2025-04-21_14_59_40_x76800_y24064,patches/DI2025-030614_2025-04-21_14_59_40_x76800_y24064/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x76800_y24064/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x76800_y24064/cells.csv,112,TPS_1,0.023087507113814354,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x76800_y24064.npz
DI2025-030614_2025-04-21_14_59_40_x25600_y3584,patches/DI2025-030614_2025-04-21_14_59_40_x25600_y3584/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x25600_y3584/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x25600_y3584/cells.csv,108,TPS_10,0.11632341146469116,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x25600_y3584.npz
DI2025-030614_2025-04-21_14_59_40_x35328_y27648,patches/DI2025-030614_2025-04-21_14_59_40_x35328_y27648/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x35328_y27648/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x35328_y27648/cells.csv,108,TPS_10,0.24778234958648682,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x35328_y27648.npz
DI2025-030614_2025-04-21_14_59_40_x35840_y27136,patches/DI2025-030614_2025-04-21_14_59_40_x35840_y27136/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x35840_y27136/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x35840_y27136/cells.csv,100,TPS_1,0.03935343399643898,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x35840_y27136.npz
DI2025-030614_2025-04-21_14_59_40_x14848_y17920,patches/DI2025-030614_2025-04-21_14_59_40_x14848_y17920/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x14848_y17920/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x14848_y17920/cells.csv,102,TPS_1,0.024472327902913094,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x14848_y17920.npz
DI2025-030614_2025-04-21_14_59_40_x16384_y10240,patches/DI2025-030614_2025-04-21_14_59_40_x16384_y10240/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x16384_y10240/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x16384_y10240/cells.csv,97,TPS_1,0.08071765303611755,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x16384_y10240.npz
DI2025-030614_2025-04-21_14_59_40_x17920_y9216,patches/DI2025-030614_2025-04-21_14_59_40_x17920_y9216/image.jpg,patches/DI2025-030614_2025-04-21_14_59_40_x17920_y9216/patch.json,patches/DI2025-030614_2025-04-21_14_59_40_x17920_y9216/cells.csv,97,TPS_10,0.1297842264175415,/nfs-medical3/data/浙二黄封博_乳腺癌/乳腺癌PDL1/distill_feature_stem/DI2025-030614_2025-04-21_14_59_40/DI2025-030614_2025-04-21_14_59_40_x17920_y9216.npz
